2026-01-18 00:33:57,112 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 00:33:57,326 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+nsfw 200
2026-01-18 00:33:57,327 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7 200
2026-01-18 00:33:57,328 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+fanart 200
2026-01-18 00:33:57,331 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+2d+art 200
2026-01-18 00:33:57,333 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+fanart 200
2026-01-18 00:33:57,333 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+sfw 200
2026-01-18 00:33:57,334 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+key+art 200
2026-01-18 00:33:57,334 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+official+art 200
2026-01-18 00:33:57,334 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k 200
2026-01-18 00:33:57,335 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+wallpaper 200
2026-01-18 00:33:57,335 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+screenshot 200
2026-01-18 00:33:57,336 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+3d+render 200
2026-01-18 00:33:57,337 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+key+art 200
2026-01-18 00:33:57,337 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+remake 200
2026-01-18 00:33:57,344 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+screenshot 200
2026-01-18 00:33:57,344 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+nsfw 200
2026-01-18 00:33:57,344 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+3d+render 200
2026-01-18 00:33:57,344 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+official+art 200
2026-01-18 00:33:57,344 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+2d+art 200
2026-01-18 00:33:57,346 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+wallpaper 200
2026-01-18 00:33:58,136 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+fanart&l=us-en&vqd=4-252702561858311435416975077099529861299&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,142 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+screenshot&l=us-en&vqd=4-233988239837322995263684530676260745866&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,142 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+remake&l=us-en&vqd=4-122801892637820793305020861480337666569&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,142 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+fanart&l=us-en&vqd=4-185773501253600070355898279302449024036&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,146 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+nsfw&l=us-en&vqd=4-163034954980485312425604744937318354899&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,146 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+key+art&l=us-en&vqd=4-180814468334308758631963199120523609690&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,146 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+wallpaper&l=us-en&vqd=4-266784729233396602599230400747106085092&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,147 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+key+art&l=us-en&vqd=4-164156339528940257224399585130293858564&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,150 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+2d+art&l=us-en&vqd=4-91171151332162779170379197728945664761&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,150 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+3d+render&l=us-en&vqd=4-38761523110900310555726756297487524111&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,153 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+3d+render&l=us-en&vqd=4-63297216118200272621445743321473474438&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,153 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+2d+art&l=us-en&vqd=4-275676685641578065493027417865675096626&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,153 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+official+art&l=us-en&vqd=4-231613280363193111193328630978987469006&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,153 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+wallpaper&l=us-en&vqd=4-205545499102468321072709891380474798884&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,154 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+screenshot&l=us-en&vqd=4-33381623023918700885662491908816941027&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,170 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7&l=us-en&vqd=4-30882369111239269315490136605359818598&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,185 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+sfw&l=us-en&vqd=4-58578686739069539422423126878358813010&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,189 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k+official+art&l=us-en&vqd=4-33560258761464781805571139276531411274&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,189 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+wallpaper+4k&l=us-en&vqd=4-93662533915759784012759090665657107628&p=-1&f=%2C%2C%2C%2C%2C 403
2026-01-18 00:33:58,422 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+nsfw&l=us-en&vqd=4-157121760440594569231742019364412372472&p=-1&f=%2C%2C%2C%2C%2C 200
2026-01-18 00:33:58,633 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+wallpaper+4k+sfw 200
2026-01-18 00:33:59,332 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+2d+art 200
