2026-01-18 20:24:25,176 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 20:24:26,083 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k 200
2026-01-18 20:24:26,111 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art 200
2026-01-18 20:24:26,489 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k&l=us-en&vqd=4-139863817199826160696407754788621860474&p=-1 200
2026-01-18 20:24:26,513 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art&l=us-en&vqd=4-327180397659876011535303262991128953647&p=-1 200
2026-01-18 20:24:26,519 | INFO | tifa_archivist.search | image search category=wallpaper query=Tifa Lockhart Final Fantasy VII wallpaper 4k results=80 source=ddg
2026-01-18 20:24:26,526 | INFO | tifa_archivist.orchestrator | search cap reached urls=40 max_urls=40
2026-01-18 20:24:26,558 | INFO | tifa_archivist.search | image search category=original_game query=Tifa Lockhart Final Fantasy VII original game screenshot official art results=80 source=ddg
2026-01-18 20:24:30,063 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/342379-Tifa-Lockhart-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII.jpg error=status 403
2026-01-18 20:24:30,131 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/342385-Tifa-Lockhart-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII.jpg error=status 403
2026-01-18 20:24:30,342 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/305456-Final-Fantasy-7-Remake-Cloud-Strife-Tifa-Lockhart-4K.jpg error=status 403
2026-01-18 20:24:30,373 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/mocahbig/87841-tifa-lockhart-final-fantasy-games-hd-4k.jpg error=status 403
2026-01-18 20:24:30,575 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/341668-Tifa-Lockhart-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII.jpg error=status 403
2026-01-18 20:24:31,140 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/341667-Tifa-Lockhart-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII-Art.jpg error=status 403
2026-01-18 20:24:31,176 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/227516-tifa-lockhart-1600x900.jpg error=status 403
2026-01-18 20:24:31,386 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/956353-Final-Fantasy-VII-Remake-Tifa-Lockhart-Final-Fantasy-VII.jpg error=status 403
2026-01-18 20:24:33,744 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/306784-Tifa-Lockhart-Final-Fantasy-7-Remake-4K.jpg error=status 403
2026-01-18 20:24:34,283 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/342381-Tifa-Lockhart-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII.jpg error=status 403
2026-01-18 20:24:34,776 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/342386-Tifa-Lockhart-Beach-Summer-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII.jpg error=status 403
2026-01-18 20:24:34,953 | WARNING | tifa_archivist.download | download failed url=https://images.wallpapersden.com/image/download/tifa-lockhart-final-fantasy-7-remake_a25qZmaUmZqaraWkpJRnZWVlrWZmZ2o.jpg error=status 403
2026-01-18 20:24:35,226 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/mocahbig/460124-Final-Fantasy-VII-Remake-Final-Fantasy-VII-Tifa-Lockhart.jpg error=status 403
2026-01-18 20:24:35,783 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/uploads/posts/227518-tifa-lockhart-1400x1050.jpg error=status 403
2026-01-18 20:24:35,846 | WARNING | tifa_archivist.download | download failed url=https://www.hdwallpapers.in/download/cloud_strife_tifa_lockhart_4k_hd_final_fantasy_vii_remake-3840x2160.jpg error=unsupported content-type application/force-download
2026-01-18 20:24:38,076 | WARNING | tifa_archivist.download | download failed url=https://rare-gallery.com/thumbs/341670-Final-Fantasy-7-Remake-FF7-Video-Game-Final-Fantasy-VII-Remake-FFVII-Tifa-Lockhart.jpg error=image too small
