2026-01-18 01:03:37,349 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 01:03:37,784 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+fanart 200
2026-01-18 01:03:37,790 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7 200
2026-01-18 01:03:38,222 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7&l=us-en&vqd=4-30881442458650606076712370707360608662&p=-1 200
2026-01-18 01:03:38,224 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+fanart&l=us-en&vqd=4-185773124761372000025714574823467481812&p=-1 200
2026-01-18 01:03:38,258 | INFO | tifa_archivist.orchestrator | search cap reached urls=40 max_urls=40
2026-01-18 01:03:38,500 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://images6.alphacoders.com/436/436981.jpg error=image file is truncated (19 bytes not processed)
2026-01-18 01:03:38,509 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://cdn.staticneo.com/ew/6/6e/FFVII_Rebirth_Tifa.png error=image file is truncated (0 bytes not processed)
2026-01-18 01:03:38,523 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/a091daa6-1f49-416d-afeb-ebedac53c050/dfeied3-01930e1c-ef79-4cd3-b5da-964b9c3a0dee.jpg/v1/fill/w_1600,h_2401,q_75,strp/tifa_lockhart__final_fantasy__vii____render_1_by_jetsynth_dfeied3-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MjQwMSIsInBhdGgiOiJcL2ZcL2EwOTFkYWE2LTFmNDktNDE2ZC1hZmViLWViZWRhYzUzYzA1MFwvZGZlaWVkMy0wMTkzMGUxYy1lZjc5LTRjZDMtYjVkYS05NjRiOWMzYTBkZWUuanBnIiwid2lkdGgiOiI8PTE2MDAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.zgW1WJysiv-QS4lOT5VpMvc4vXenx8GVWwjxQlM3EaM error=image file is truncated (5 bytes not processed)
2026-01-18 01:03:38,562 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://imgcdn.stablediffusionweb.com/2024/3/14/152fea84-16e8-4a99-9a23-97482896b81d.jpg error=image file is truncated (5 bytes not processed)
2026-01-18 01:03:38,733 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://static.zerochan.net/Tifa.Lockhart.full.2917895.jpg error=image file is truncated (25 bytes not processed)
2026-01-18 01:03:38,767 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/55bf5a0f-d0cc-4dcc-a0c7-9e2b8431042d/dhogmei-eda67f63-1d0c-47eb-8697-7e4b57f7b349.jpg/v1/fill/w_1920,h_1920,q_75,strp/_tifa_lockhart_final_fantasy_vii_rebirth_by_19genzo93_dhogmei-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTkyMCIsInBhdGgiOiJcL2ZcLzU1YmY1YTBmLWQwY2MtNGRjYy1hMGM3LTllMmI4NDMxMDQyZFwvZGhvZ21laS1lZGE2N2Y2My0xZDBjLTQ3ZWItODY5Ny03ZTRiNTdmN2IzNDkuanBnIiwid2lkdGgiOiI8PTE5MjAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.BFglLr-IDEks-xGzeKfpVbz8w3xTO2cVN-pLBdzPoUA error=image file is truncated (1 bytes not processed)
2026-01-18 01:03:38,830 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://oyster.ignimgs.com/mediawiki/apis.ign.com/final-fantasy-7-rebirth/a/a8/Tifa_Lockhart_Final_Fantasy_VII_Rebirth.png error=image file is truncated (0 bytes not processed)
2026-01-18 01:03:38,844 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://4.bp.blogspot.com/-G_J0akO_F30/XQ8e1Cf554I/AAAAAAAAHtY/fXSLWRvdXfkusN1p8VIzo87BMJVOt6YFQCKgBGAs/w0/tifa-lockhart-final-fantasy-7-remake-uhdpaper.com-4K-37.jpg error=image file is truncated (0 bytes not processed)
2026-01-18 01:03:39,330 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://a-static.besthdwallpaper.com/tifa-lockhart-final-fantasy-vii-remake-ff7-wallpaper-2560x1440-68601_51.jpg error=image file is truncated (4 bytes not processed)
2026-01-18 01:03:39,551 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://product.hstatic.net/200000515997/product/15fad9a4-c4b8-4cca-9f99-d93260a62910_5a487eadca974a5bafa6371120cd45ca_master.jpg error=image file is truncated (6 bytes not processed)
2026-01-18 01:03:39,595 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/f1f6754f-387d-4018-b5d2-d210fec7cdbf/dfiw25q-ecfdb55b-b127-4d6e-9a45-7d775c5ecf73.png/v1/fill/w_1280,h_1829,q_80,strp/tifa_lockhart__final_fantasy_by_alienally_dfiw25q-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTgyOSIsInBhdGgiOiJcL2ZcL2YxZjY3NTRmLTM4N2QtNDAxOC1iNWQyLWQyMTBmZWM3Y2RiZlwvZGZpdzI1cS1lY2ZkYjU1Yi1iMTI3LTRkNmUtOWE0NS03ZDc3NWM1ZWNmNzMucG5nIiwid2lkdGgiOiI8PTEyODAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.9puX3BTEMN7TS_cHNXfEYetlgnD45yKnuB7Ls9U7XtA error=image file is truncated (6 bytes not processed)
2026-01-18 01:03:39,712 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://wallpapercave.com/wp/wp6169307.jpg error=image file is truncated (42 bytes not processed)
2026-01-18 01:03:39,855 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://i.pinimg.com/originals/4f/4e/ef/4f4eef3b8fede2ad7321c27b6f49621a.jpg error=image file is truncated (2 bytes not processed)
2026-01-18 01:03:42,155 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://i.pinimg.com/originals/b0/a8/ed/b0a8ed5b9555d4835c791b0f91cabaee.jpg error=image file is truncated (3 bytes not processed)
2026-01-18 01:03:42,773 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://images.alphacoders.com/107/1077547.jpg error=Truncated File Read
2026-01-18 01:03:42,850 | WARNING | tifa_archivist.orchestrator | re-encode failed url=https://i.pinimg.com/originals/23/a3/31/23a33181e15ce6d543ad1090b4329e52.png error=image file is truncated
