2026-01-18 21:59:27,934 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:28,883 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:28,897 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:29,310 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-153254393530325571759870367059136766917&p=-1 200
2026-01-18 21:59:29,334 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-44110104260816381600278604251843923895&p=-1 200
2026-01-18 21:59:29,343 | INFO | tifa_archivist.search | image search category=original_game query=Tifa Lockhart Final Fantasy VII original game screenshot official art -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=78 source=ddg
2026-01-18 21:59:29,367 | INFO | tifa_archivist.search | image search category=wallpaper query=Tifa Lockhart Final Fantasy VII wallpaper 4k -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:30,211 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+2D+fanart+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:30,288 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+cosplay+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:30,644 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+2D+fanart+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-322644379623782271340181409127135217138&p=-1 200
2026-01-18 21:59:30,677 | INFO | tifa_archivist.search | image search category=fanart_2d query=Tifa Lockhart Final Fantasy VII 2D fanart -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:30,725 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+cosplay+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-229913488258179920482862519001469517024&p=-1 200
2026-01-18 21:59:30,757 | INFO | tifa_archivist.search | image search category=cosplay query=Tifa Lockhart Final Fantasy VII cosplay -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:31,716 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+3D+render+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:31,854 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+sexy+SFW+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:32,237 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+3D+render+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-41490973856110260571359582529809739721&p=-1 200
2026-01-18 21:59:32,270 | INFO | tifa_archivist.search | image search category=render_3d query=Tifa Lockhart Final Fantasy VII 3D render -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:32,373 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+sexy+SFW+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-85336076130427004641008606799110339392&p=-1 200
2026-01-18 21:59:32,407 | INFO | tifa_archivist.search | image search category=sexy_sfw query=Tifa Lockhart Final Fantasy VII sexy SFW -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:33,191 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+nsfw+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:33,288 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:59:33,507 | WARNING | tifa_archivist.orchestrator | classification failed url=https://i.pinimg.com/originals/d3/85/a1/d385a19445fe42076022b19d1e359f46.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:59:33,775 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-276622429183656969331476054530120652509&p=-1 200
2026-01-18 21:59:33,808 | INFO | tifa_archivist.search | image search category=other query=Tifa Lockhart Final Fantasy VII -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:59:33,812 | WARNING | tifa_archivist.download | download failed url=https://images4.alphacoders.com/111/1112099.jpg error=image too small
