2026-01-18 14:27:46,937 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 14:27:47,420 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7 200
2026-01-18 14:27:47,445 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+fanart 200
2026-01-18 14:27:47,816 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+fanart&l=us-en&vqd=4-185771982608180633905151831123076808964&p=-1 200
2026-01-18 14:27:47,822 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7&l=us-en&vqd=4-30881012725096699857038802223671249478&p=-1 200
2026-01-18 14:27:48,042 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+2d+art 200
2026-01-18 14:27:48,043 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+3d+render 200
2026-01-18 14:27:48,390 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+3d+render&l=us-en&vqd=4-38765678469566928975803632329027578927&p=-1 200
2026-01-18 14:27:48,440 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+2d+art&l=us-en&vqd=4-91167036538315397568433564381888397273&p=-1 200
2026-01-18 14:27:48,604 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+key+art 200
2026-01-18 14:27:48,659 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+screenshot 200
2026-01-18 14:27:49,002 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+key+art&l=us-en&vqd=4-164157411961347761651822068534952942628&p=-1 200
2026-01-18 14:27:49,064 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+screenshot&l=us-en&vqd=4-233989312269730509135839979820210323370&p=-1 200
2026-01-18 14:27:49,225 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+official+art 200
2026-01-18 14:27:49,280 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+FF7+wallpaper 200
2026-01-18 14:27:49,625 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+wallpaper&l=us-en&vqd=4-205543939892229715097554319450418654724&p=-1 200
2026-01-18 14:27:49,662 | INFO | tifa_archivist.orchestrator | search cap reached urls=80 max_urls=80
2026-01-18 14:27:49,754 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+FF7+official+art&l=us-en&vqd=4-231617111203307931799072833482354877934&p=-1 200
