2026-01-18 21:57:13,955 | WARNING | tifa_archivist.classify | vision check skipped: {"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:57:14,979 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:57:15,023 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:57:15,474 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-153254393530325571759870367059136766917&p=-1 200
2026-01-18 21:57:15,505 | INFO | tifa_archivist.search | image search category=original_game query=Tifa Lockhart Final Fantasy VII original game screenshot official art -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=78 source=ddg
2026-01-18 21:57:15,533 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-44110104260816381600278604251843923895&p=-1 200
2026-01-18 21:57:15,570 | INFO | tifa_archivist.search | image search category=wallpaper query=Tifa Lockhart Final Fantasy VII wallpaper 4k -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:57:15,633 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://static.wikia.nocookie.net/finalfantasy/images/2/21/Tifa_Lockhart_from_FFVII_Rebirth_promo_render.png/revision/latest?cb=20240304073043 reason=ok_undecoded mime=image/webp
2026-01-18 21:57:16,394 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+cosplay+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:57:16,917 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+cosplay+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-229913488258179920482862519001469517024&p=-1 200
2026-01-18 21:57:16,950 | INFO | tifa_archivist.search | image search category=cosplay query=Tifa Lockhart Final Fantasy VII cosplay -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:57:16,950 | INFO | tifa_archivist.orchestrator | search cap reached urls=50 max_urls=50
2026-01-18 21:57:17,566 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+2D+fanart+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-01-18 21:57:18,070 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+2D+fanart+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-322644379623782271340181409127135217138&p=-1 200
2026-01-18 21:57:18,103 | INFO | tifa_archivist.search | image search category=fanart_2d query=Tifa Lockhart Final Fantasy VII 2D fanart -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-01-18 21:57:20,034 | WARNING | tifa_archivist.download | download failed url=https://www.previewsworld.com/SiteImage/MainImage/STL252199.jpg error=Cannot connect to host www.previewsworld.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')]
2026-01-18 21:57:20,633 | WARNING | tifa_archivist.orchestrator | classification failed url=https://e7.pngegg.com/pngimages/331/226/png-clipart-final-fantasy-vii-advent-children-tifa-lockhart-yuffie-kisaragi-aerith-gainsborough-others-miscellaneous-video-game.png error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:57:21,717 | WARNING | tifa_archivist.orchestrator | classification failed url=https://img2.joyreactor.com/pics/post/full/tifa-lockhart-final-fantasy-VII-final-fantasy-4200000.jpeg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:57:23,472 | WARNING | tifa_archivist.orchestrator | classification failed url=https://static.zerochan.net/Tifa.Lockhart.full.4094598.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:57:26,054 | WARNING | tifa_archivist.orchestrator | classification failed url=https://static.zerochan.net/Tifa.Lockhart.full.4307119.jpg error={"code":"Client specified an invalid argument","error":"Invalid request content: Failed to decode image buffer."}
2026-01-18 21:57:26,256 | WARNING | tifa_archivist.download | download failed url=https://i.pinimg.com/originals/d3/85/a1/d385a19445fe42076022b19d1e359f46.jpg error=image too small
